benchmark,Kissat_MAB_CoRephase,,,,,Kissat-MAB-rephasing,,,
,arm1(BWO),arm2(BWI),arm3(BWC),arm4(BWF),,arm1(B),arm2(I),arm3(O),arm4(W)
37d40a1092b58ad28285b9453872d211-DecompressReader_read_12.cnf,53,32,34,36,,22,106,11,32
385a678ba820d79c6fb5f497adaf32ec-grs-48-128.cnf,6,6,6,7,,9,11,10,9
385e2c7010a419a9bd47b9258c9d2903-tseitin_d3_n200.cnf,85,83,85,83,,89,55,71,93
38833d6a1ff6a56ef22bd2dc1e3fdde7-rbsat-v1150c84314gyes10.cnf,19,18,18,18,,28,35,26,37
38ca761a5808eace8bc8f1fcfdb5b5a8-multiplier_15bits__miter_20.cnf,17,19,18,17,,24,23,25,24
396245861b331d45e1345bd43fe352e2-asconhashv12_opt64_H8_M2-1yQCyA0j_m2_6.c.cnf,2,2,2,4,,2,7,29,3
3a7a64e1d6cf5ce969b2b05b5464f707-PRP_30_38.cnf,2,2,3,2,,4,10,3,4
3cff6c97a515aecfe46ba0f1256a3c11-shuffling-1-s1870372346-of-bench-sat04-423.used-as.sat04-562.cnf,1,2,2,2,,4,5,5,4
3e7dc7350195104b76b7d03ab5b0af8f-SC23_Timetable_C_490_E_50_Cl_33_D_6_T_50.cnf,14,14,14,14,,27,29,29,27
3f341c57c37d86350af5233b8e15e52e-19_2.cnf,17,18,18,18,,17,33,18,21
3f4174289e971950c290f27892169bc5-intervals607.cnf,43,40,40,42,,28,63,33,47
3ff114cc7bee4f39fa56a0325e605c2d-stb_588_138.apx_2_DC-ST.cnf,5,5,5,5,,7,14,7,8
4029fbae284eaf924b37b6f43d3a67fb-WCNF_from_fp_14.cnf,44,39,38,40,,30,85,27,42
40ae60a61929b6bfa2ac99ab4b9a0f7e-grs-96-192.cnf,7,8,8,8,,12,14,12,12
41457ee03686b32962c12445524f62a9-mchess18-mixed-45percent-blocked.cnf,9,10,10,10,,15,14,14,15
41a8365f60db55b71d949df6954e0db7-FileObject_open_13.cnf,76,24,27,28,,24,100,7,37
41c39c9a2d75ca50b603ea7c3d86106a-brent_63_0.cnf,1,0,0,0,,1,1,1,0
4282ea42fd414bfd2c4bf81fe8a43e24-DivU_1520_10.cnf.sanitized.cnf,2,2,3,2,,5,5,5,5
428da12ab8f5f68ae261e6468c2fef73-TableSymModel_output_8_3_10.bul_.dimacs.cnf,41,35,39,41,,7,148,7,11
431bfb466be51ecd86b321b5cbce6d3c-mrpp_8x8#22_10.cnf,1,0,0,0,,1,1,1,1
4380f8ed143d97a65f8888b2feeddb80-intervals477.cnf,39,39,40,38,,35,50,41,44
4408f30395fb799e01b34b0dc7ee1d62-cliquecoloring_n14_k9_c8.cnf,47,43,44,44,,44,72,32,55
44092fcc83a5cba81419e82cfd18602c-php-010-009.shuffled-as.sat05-1185.cnf,2,2,2,2,,2,10,3,3
44ad104c3b0c83b4cfc260583dee2397-PRP_30_36.cnf,2,3,2,2,,6,13,5,6
44b249f51321a2bf38f730534b781bec-c880_gr_rcs_w7.shuffled.cnf,1,0,0,0,,1,0,0,0
45faf223af97fe9177daa3ad4002cf2f-hash_table_find_safety_size_25.cnf,1,1,0,0,,2,2,1,1
4611cd26b441b8c5866e4a2c5a7952dc-WS_400_24_90_10.apx_1_DS-ST.cnf,28,27,27,27,,32,35,29,37
46e119b7ff8d0781354bfe68139c99b5-grs-96-96.cnf,6,6,6,7,,10,12,10,10
48539e7e4baae6db72cda7e8a9cecfa0-oisc-subrv-sll-nested-15.cnf,3,3,4,3,,7,9,6,7
48ac8814180bdc90bf96a4caea64dae2-intervals633.cnf,42,42,39,42,,45,48,52,42
4989239fbeb6eb40fc0b664d9ba92636-asconhashv12_opt64_H7_M2-K1zfAs8_m0_3_U5.c.cnf,2,2,4,4,,5,7,5,25
4a6a797c6b4a8055d10b74edda9a5e30-TableSymModel_output_8_4_8.bul_.dimacs.cnf,37,34,35,36,,22,92,22,30
4d2f74ef97b6d40ebd71f85dcb75c543-tseitingrid7x160_shuffled-sc2016.cnf,86,87,86,86,,80,82,81,81
4e64ffc14db014d5591f40865376c32a-satcoin-genesis-UNSAT-7200.cnf,5,5,5,4,,10,10,11,10
4f38f4b005cc54122135c8c21aec4b85-intervals7.cnf,42,42,42,40,,37,58,43,47
4fd2e4e6ecb4fe8d3f9e1fda81633469-brent_69_0.05.cnf,1,0,0,0,,1,1,1,0
4fdcf4248a332c1c9a89d37439c879a9-or_randxor_k3_n520_m520.cnf,23,23,23,23,,30,31,33,34
4fe42891b004d7425631a8edb4252d3f-32_0.cnf,13,12,13,13,,15,26,15,18
